ID,Recept_ID,Élelmiszerek,Élelmiszer ID,Mennyiség,Mértékegység,Tipus,Kötés
1392,182,Csirkemellfilé,42,150,g,KÖTÖTT,R182-A
1393,182,Basmati rizs,18,40,g,FŐ_MAKRO,R182-A
1394,182,Vöröshagyma,199,0.5,db,KÖTÖTT,R182-A
1395,182,Paradicsom,139,60,g,KÖTÖTT,R182-A
1396,182,Sárgarépa,160,50,g,KÖTÖTT,R182-A
1397,182,Víz / Alaplé,197 / 5,100,ml,KÖTÖTT,R182-A
1398,183,Csirkemellfilé,42,80,g,FŐ_MAKRO,NULL
1399,183,Kókuszzsír,103,0.5,ek,FŐ_MAKRO,NULL
1400,183,Vöröshagyma,199,0.5,db,ÍZESÍTŐ,NULL
1401,183,Fokhagyma,67,1,gerezd,ÍZESÍTŐ,NULL
1402,183,Burgonya,216,100,g,FŐ_MAKRO,NULL
1403,183,Zöldbab,62,70,g,KIEGÉSZÍTŐ,NULL
1404,183,Sárgarépa,160,1,db,KIEGÉSZÍTŐ,NULL
1405,183,Fehérrépa,225,0.5,db,KIEGÉSZÍTŐ,NULL
1406,183,Paradicsom,139,1,db,KIEGÉSZÍTŐ,NULL
1407,183,Paprika,137,0.5,db,KIEGÉSZÍTŐ,NULL
1408,183,Babérlevél,15,1,db,ÍZESÍTŐ,NULL
1409,183,Kókuszjoghurt,100,40,g,KIEGÉSZÍTŐ,NULL
1410,183,Víz,197,500,ml,KIEGÉSZÍTŐ,NULL
1411,183,Citrom,30,0.5,db,ÍZESÍTŐ,NULL
1412,183,Kapor (friss),90,2,ek,ÍZESÍTŐ,NULL
1413,184,Darált pulykamell,47,125,g,FŐ_MAKRO,R184-A
1414,184,Basmati rizs,18,25,g,KÖTÖTT,R184-A
1415,184,Vöröshagyma,199,0.5,db,ÍZESÍTŐ,NULL
1416,184,Paradicsompüré,140,250,ml,KÖTÖTT,R184-A
1417,184,Víz,197,100,ml,KÖTÖTT,R184-A
1418,184,Zabliszt,203,5,g,KÖTÖTT,R184-A
1419,185,Fejes káposzta,215,230,g,FŐ_MAKRO,R185-A
1420,185,Vöröshagyma,199,0.5,db,ÍZESÍTŐ,NULL
1421,185,Paradicsompüré,140,100,ml,KÖTÖTT,R185-A
1422,185,Zabliszt,203,1,teáskanál,KÖTÖTT,R185-A
1423,185,Kókuszzsír,103,1,teáskanál,FŐ_MAKRO,NULL
1424,185,Víz,197,100,ml,KÖTÖTT,R185-A
1425,186,Tojás,183,2,db,FŐ_MAKRO,R186-A
1426,186,Passzírozott paradicsom,140,100,g,KÖTÖTT,R186-A
1427,186,Vöröshagyma,199,0.25,db,ÍZESÍTŐ,NULL
1428,186,Fokhagyma,67,1,gerezd,ÍZESÍTŐ,NULL
1429,186,Teljes kiőrlésű kovászos kenyér,106,20,g,FŐ_MAKRO,NULL
1430,186,Kókuszzsír,103,1,teáskanál,FŐ_MAKRO,NULL
1431,187,Teljes kiőrlésű kovászos kenyér,106,30,g,FŐ_MAKRO,NULL
1432,187,Füstölt lazac,71,50,g,FŐ_MAKRO,NULL
1433,187,Paradicsom,139,50,g,KIEGÉSZÍTŐ,NULL
1434,187,Bazsalikom,19,2,g,ÍZESÍTŐ,NULL
1435,188,Teljes kiőrlésű tészta,182,50,g,FŐ_MAKRO,NULL
1436,188,Csirkemellfilé,42,150,g,FŐ_MAKRO,NULL
1437,188,Paradicsom,139,1,db,KIEGÉSZÍTŐ,NULL
1438,188,Pesto,143,25,g,FŐ_MAKRO,R188-A
1439,188,Kókusztejszín,270,45,g,KÖTÖTT,R188-A
